PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2014 Man;2014 Vrouw;2015 Man;2015 Vrouw;2016 Man;2016 Vrouw;2017 Man;2017 Vrouw;2018 Man;2018 Vrouw
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35517;B Finance, Tax and Advice;duaal onderwijs;bachelor;44;29;54;28;54;22;46;17;38;15
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35517;B Finance, Tax and Advice;duaal onderwijs;propedeuse bachelor;50;21;39;10;25;11;26;15;22;15
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;deeltijd onderwijs;bachelor;19;14;27;15;32;17;22;11;16;8
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;deeltijd onderwijs;propedeuse bachelor;10;2;10;2;5;0;4;0;3;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;bachelor;185;41;191;59;179;65;178;65;166;57
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;propedeuse bachelor;150;42;130;42;114;44;135;30;130;33
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35521;B Leisure & Events Management;duaal onderwijs;bachelor;12;8;6;6;5;4;0;0;0;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35521;B Leisure & Events Management;duaal onderwijs;propedeuse bachelor;2;1;0;0;0;0;0;0;0;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35521;B Leisure & Events Management;voltijd onderwijs;bachelor;80;214;86;232;91;256;97;244;79;190
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35521;B Leisure & Events Management;voltijd onderwijs;propedeuse bachelor;84;150;83;126;66;118;59;113;89;195
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;bachelor;7;0;7;1;2;1;4;1;3;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;propedeuse bachelor;0;0;0;0;0;0;0;0;2;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;bachelor;72;22;78;18;71;21;65;17;45;15
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;propedeuse bachelor;60;14;35;8;30;10;32;14;35;8
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;duaal onderwijs;bachelor;115;44;118;65;151;78;163;78;119;58
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;duaal onderwijs;propedeuse bachelor;83;43;75;43;79;24;65;27;105;53
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;voltijd onderwijs;bachelor;81;109;74;106;85;104;77;91;65;52
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;voltijd onderwijs;propedeuse bachelor;77;81;49;50;39;34;47;27;68;69
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35524;B Tourism Management;voltijd onderwijs;bachelor;107;406;102;412;104;336;100;341;73;268
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35524;B Tourism Management;voltijd onderwijs;propedeuse bachelor;68;180;63;157;60;176;64;163;89;228
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);39205;B HBO - Rechten;deeltijd onderwijs;bachelor;5;5;4;3;4;2;2;0;2;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;bachelor;51;114;53;131;51;145;52;144;51;136
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;propedeuse bachelor;63;101;42;101;42;72;43;83;51;99
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);39268;B Integrale Veiligheidskunde;deeltijd onderwijs;bachelor;48;5;46;4;42;5;30;5;13;5
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);39268;B Integrale Veiligheidskunde;deeltijd onderwijs;propedeuse bachelor;13;2;12;2;1;1;0;0;0;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);39268;B Integrale Veiligheidskunde;voltijd onderwijs;bachelor;168;30;203;48;209;56;204;74;161;56
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);39268;B Integrale Veiligheidskunde;voltijd onderwijs;propedeuse bachelor;150;53;119;44;151;67;137;55;196;90
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;bachelor;52;68;34;51;29;41;28;48;28;36
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;propedeuse bachelor;7;25;10;18;20;36;31;78;40;100
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;bachelor;164;669;185;755;221;847;225;758;201;636
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;propedeuse bachelor;201;586;185;488;141;366;123;315;116;321
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34609;B Human Resource Management;deeltijd onderwijs;bachelor;7;6;3;5;7;6;7;10;6;10
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34609;B Human Resource Management;deeltijd onderwijs;propedeuse bachelor;4;6;1;4;0;3;2;8;5;11
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34609;B Human Resource Management;voltijd onderwijs;bachelor;72;143;68;149;72;150;74;148;71;132
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34609;B Human Resource Management;voltijd onderwijs;propedeuse bachelor;51;85;53;76;45;67;52;66;40;59
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34644;B Vaktherapie;voltijd onderwijs;bachelor;11;124;6;116;8;130;5;111;4;88
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34644;B Vaktherapie;voltijd onderwijs;propedeuse bachelor;8;100;8;91;6;67;14;84;12;106
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35158;B Pedagogiek;deeltijd onderwijs;bachelor;3;8;3;1;4;1;0;2;0;4
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35158;B Pedagogiek;deeltijd onderwijs;propedeuse bachelor;0;1;0;0;1;7;1;18;1;40
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35158;B Pedagogiek;voltijd onderwijs;bachelor;13;282;13;296;15;309;15;278;17;238
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35158;B Pedagogiek;voltijd onderwijs;propedeuse bachelor;13;224;14;178;12;131;16;130;15;159
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;bachelor;6;38;5;30;7;33;7;59;8;100
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;propedeuse bachelor;3;16;2;31;1;65;4;126;7;113
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;bachelor;25;318;32;363;42;411;44;397;49;353
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;propedeuse bachelor;59;300;47;244;44;240;45;210;34;242
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;bachelor;212;777;213;726;225;726;212;661;210;580
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;propedeuse bachelor;249;608;167;424;178;415;208;404;239;509
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;bachelor;0;0;0;0;2;17;8;44;12;89
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;propedeuse bachelor;0;0;0;0;10;42;15;124;36;151
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;lerarenopleidingen op het gebied van de kunst;34745;B Docent Theater;voltijd onderwijs;bachelor;14;47;14;63;16;62;15;62;13;51
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;lerarenopleidingen op het gebied van de kunst;34745;B Docent Theater;voltijd onderwijs;propedeuse bachelor;10;42;8;24;8;15;11;15;14;20
